"Symbol","Price","Buy Signal Range","% Change","Micro Trend Rating","Macro Trend Rating","UpdateTime"
"AAPL",340.24,"332.38-339.73",1.29,"Mixed trend","Uptrend","2026-09-25 15:35:00"
"MSFT",515.845,"496.64-515.84",3.6,"Mixed trend","Uptrend","2026-09-25 15:35:00"
"NVDA",223.9301,"216.34-224.96",-0.29,"Mixed trend","Mixed trend","2026-09-25 15:35:00"
"GOOGL",343.78,"334.85-343.58",0.41,"Mixed trend","Mixed trend","2026-09-25 15:29:00"
"TSLA",371.51,"357.36-381.05",-1.7,"Mixed trend","Mixed trend","2026-09-25 15:33:00"
"META",750.35,"711.59-771.22",-3.5,"Mixed trend","Mixed trend","2026-09-25 15:33:00"
"AMZN",249.79,"243.01-249.92",0.16,"Mixed trend","Mixed trend","2026-09-25 15:33:00"
"SPY",770.8,"760.85-769.99",0.47,"Mixed trend","Mixed trend","2026-09-25 15:40:00"
"QQQ",744.11,"732.26-744.67",0.41,"Mixed trend","Mixed trend","2026-09-25 15:40:00"
"DIA",517.27,"511.11-516.56",0.9,"Mixed trend","Mixed trend","2026-09-25 15:40:00"
"VIXY",16.6,"16.29-16.67",-1.78,"Mixed trend","Mixed trend","2026-09-25 15:40:00"
